L -497.0000, -5298.0000, -14.0000, -340.0000, -5297.0000, -16.0000, 139, 69, 19
L -340.0000, -5297.0000, -16.0000, -341.0000, -5354.0000, -15.0000, 139, 69, 19
L -341.0000, -5354.0000, -15.0000, -493.0000, -5354.0000, -13.0000, 139, 69, 19
L -10770.0000, -7901.0000, -25.0000, 23621.0000, -7812.0000, -19.0000, 0, 0, 255
L 23621.0000, -7812.0000, -19.0000, 23540.0000, 8396.0000, -40.0000, 0, 0, 255
L 23540.0000, 8396.0000, -40.0000, -10746.0000, 8398.0000, -39.0000, 0, 0, 255
L -10746.0000, 8398.0000, -39.0000, -10770.0000, -7900.0000, -39.0000, 0, 0, 255
L 734.0000, -7360.0000, -30.0000, 767.0000, -7296.0000, -38.0000, 0, 0, 255
L 767.0000, -7296.0000, -38.0000, 775.0000, -7260.0000, -32.0000, 0, 0, 255
L 775.0000, -7260.0000, -32.0000, 662.0000, -7072.0000, -34.0000, 0, 0, 255
L 662.0000, -7072.0000, -34.0000, 621.0000, -7010.0000, -35.0000, 0, 0, 255
L 621.0000, -7010.0000, -35.0000, 601.0000, -6979.0000, -33.0000, 0, 0, 255
L 601.0000, -6979.0000, -33.0000, 598.0000, -6866.0000, -40.0000, 0, 0, 255
L 598.0000, -6866.0000, -40.0000, 598.0000, -6824.0000, -36.0000, 0, 0, 255
L 598.0000, -6824.0000, -36.0000, 475.0000, -6829.0000, -33.0000, 0, 0, 255
L 475.0000, -6829.0000, -33.0000, 388.0000, -6904.0000, -34.0000, 0, 0, 255
L 388.0000, -6904.0000, -34.0000, 247.0000, -6992.0000, -34.0000, 0, 0, 255
L 247.0000, -6992.0000, -34.0000, 175.0000, -7025.0000, -36.0000, 0, 0, 255
L 175.0000, -7025.0000, -36.0000, 138.0000, -7044.0000, -37.0000, 0, 0, 255
L 138.0000, -7044.0000, -37.0000, 12.0000, -7010.0000, -32.0000, 0, 0, 255
L 12.0000, -7010.0000, -32.0000, 102.0000, -7158.0000, -25.0000, 0, 0, 255
L 102.0000, -7158.0000, -25.0000, 123.0000, -7194.0000, -28.0000, 0, 0, 255
L 123.0000, -7194.0000, -28.0000, 212.0000, -7302.0000, -34.0000, 0, 0, 255
L 212.0000, -7302.0000, -34.0000, 249.0000, -7340.0000, -34.0000, 0, 0, 255
L 249.0000, -7340.0000, -34.0000, 306.0000, -7356.0000, -25.0000, 0, 0, 255
L 306.0000, -7356.0000, -25.0000, 331.0000, -7361.0000, -25.0000, 0, 0, 255
L 331.0000, -7361.0000, -25.0000, 419.0000, -7370.0000, -25.0000, 0, 0, 255
L 419.0000, -7370.0000, -25.0000, 452.0000, -7279.0000, -25.0000, 0, 0, 255
L 452.0000, -7279.0000, -25.0000, 593.0000, -7324.0000, -38.0000, 0, 0, 255
L 593.0000, -7324.0000, -38.0000, 639.0000, -7344.0000, -34.0000, 0, 0, 255
L 639.0000, -7344.0000, -34.0000, 719.0000, -7350.0000, -28.0000, 0, 0, 255
L 719.0000, -7350.0000, -28.0000, 739.0000, -7356.0000, -27.0000, 0, 0, 255
L 634.0000, -6826.0000, -24.0000, 662.0000, -6965.0000, -6.0000, 0, 0, 255
