L 614.0000, 84.0000, 14.0000, 630.0000, 84.0000, 14.0000, 0, 0, 0
L 630.0000, 68.0000, 14.0000, 614.0000, 68.0000, 14.0000, 0, 0, 0
L 602.0000, 54.0000, 29.0000, 503.0000, 54.0000, 29.0000, 150, 150, 150
L 565.0000, -83.0000, 35.0000, 565.0000, -84.0000, 35.0000, 0, 204, 0
L 429.0000, 71.0000, 0.0000, 408.0000, 71.0000, 0.0000, 0, 0, 0
L 409.0000, 133.0000, 19.0000, 409.0000, 121.0000, 19.0000, 0, 204, 0
L 443.0000, 133.0000, 19.0000, 409.0000, 133.0000, 19.0000, 0, 204, 0
L 443.0000, 107.0000, 19.0000, 443.0000, 133.0000, 19.0000, 0, 204, 0
L 409.0000, 107.0000, 19.0000, 443.0000, 107.0000, 19.0000, 0, 204, 0
L 409.0000, 114.0000, 19.0000, 409.0000, 107.0000, 19.0000, 0, 204, 0
L 403.0000, 114.0000, 19.0000, 409.0000, 114.0000, 19.0000, 0, 204, 0
L 403.0000, 105.0000, 19.0000, 403.0000, 114.0000, 19.0000, 0, 204, 0
L 389.0000, 105.0000, 19.0000, 403.0000, 105.0000, 19.0000, 0, 204, 0
L 403.0000, 121.0000, 19.0000, 409.0000, 121.0000, 19.0000, 0, 204, 0
L 403.0000, 135.0000, 19.0000, 403.0000, 121.0000, 19.0000, 0, 204, 0
L 367.0000, 135.0000, 19.0000, 403.0000, 135.0000, 19.0000, 0, 204, 0
L 378.0000, 12.0000, 28.0000, 376.0000, 15.0000, 28.0000, 0, 204, 0
L 220.0000, 11.0000, 45.0000, 251.0000, 11.0000, 41.0000, 0, 204, 0
L 220.0000, 127.0000, 45.0000, 220.0000, 11.0000, 45.0000, 0, 204, 0
L 235.0000, 127.0000, 45.0000, 220.0000, 127.0000, 45.0000, 0, 204, 0
L 235.0000, 143.0000, 45.0000, 235.0000, 127.0000, 45.0000, 0, 204, 0
L 448.0000, 143.0000, 45.0000, 235.0000, 143.0000, 45.0000, 0, 204, 0
L 449.0000, 127.0000, 45.0000, 448.0000, 143.0000, 45.0000, 0, 204, 0
L 491.0000, 126.0000, 47.0000, 449.0000, 127.0000, 45.0000, 0, 204, 0
L 491.0000, 115.0000, 47.0000, 491.0000, 126.0000, 47.0000, 0, 204, 0
L 501.0000, 136.0000, 47.0000, 501.0000, 114.0000, 47.0000, 0, 204, 0
L 500.0000, 137.0000, 47.0000, 501.0000, 136.0000, 47.0000, 0, 204, 0
L 461.0000, 137.0000, 45.0000, 500.0000, 137.0000, 47.0000, 0, 204, 0
L 459.0000, 140.0000, 45.0000, 461.0000, 137.0000, 45.0000, 0, 204, 0
L 459.0000, 153.0000, 45.0000, 459.0000, 140.0000, 45.0000, 0, 204, 0
L 235.0000, 155.0000, 45.0000, 459.0000, 153.0000, 45.0000, 0, 204, 0
L 235.0000, 165.0000, 45.0000, 235.0000, 155.0000, 45.0000, 0, 204, 0
L 187.0000, 165.0000, 45.0000, 235.0000, 165.0000, 45.0000, 0, 204, 0
L 187.0000, 127.0000, 45.0000, 187.0000, 165.0000, 45.0000, 0, 204, 0
L 210.0000, 127.0000, 45.0000, 187.0000, 127.0000, 45.0000, 0, 204, 0
L 551.0000, -156.0000, 35.0000, 560.0000, -156.0000, 34.0000, 0, 204, 0
L 593.0000, -122.0000, 38.0000, 562.0000, -122.0000, 38.0000, 0, 204, 0
L 596.0000, -126.0000, 38.0000, 593.0000, -122.0000, 38.0000, 0, 204, 0
L 595.0000, -184.0000, 38.0000, 596.0000, -126.0000, 38.0000, 0, 204, 0
L 572.0000, -184.0000, 38.0000, 595.0000, -184.0000, 38.0000, 0, 204, 0
L 251.0000, -181.0000, 45.0000, 357.0000, -181.0000, 45.0000, 0, 204, 0
L 417.0000, 214.0000, 1.0000, 417.0000, 188.0000, -1.0000, 0, 0, 0
L 47.0000, -93.0000, 33.0000, 53.0000, -93.0000, 33.0000, 0, 204, 0
L 47.0000, -75.0000, 33.0000, 47.0000, -93.0000, 33.0000, 0, 204, 0
L 53.0000, -75.0000, 33.0000, 47.0000, -75.0000, 33.0000, 0, 204, 0
L 53.0000, 32.0000, 33.0000, 53.0000, -75.0000, 33.0000, 127, 64, 0
L 48.0000, 32.0000, 33.0000, 53.0000, 32.0000, 33.0000, 0, 204, 0
